PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;COD-BARRIO;BARRIO;COD-DISTRITO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
84763;"Centro Comunitario Casino de la Reina";"";"De apertura   De lunes a viernes, de 8:30 a 21:30 horas Sábados, de 10 a 15 horas y de 16 a 21:30 horas Domingos cerrado.   De atención de los Trabajadores Sociales Comunitarios (no es necesaria cita previa)   Lunes a jueves, de 9 a 19 horas Viernes, de 9 a 14 horas Julio y agosto, de 9 a 15 horas.";"Orientación sobre recursos sociales a vecinos. Lugar de encuentro y espacio de trabajo compartido de los agentes sociales que trabajan en la cobertura de las necesidades sociales del distrito Centro. Información y asesoramiento a asociaciones y colectivos para la puesta en marcha de actividades sociales. Talleres grupales gratuitos realizados por el Departamento de Servicios Sociales de distrito Centro, otras Administración Pública y/o asociaciones, dirigidos a menores, jóvenes, familias y adultos. Apoyo en el desarrollo de proyectos sociales, ofreciendo acompañamiento técnico y facilitando el uso de espacios. Actividades y talleres grupales.   Beneficiarios: Vecinos y asociaciones del Distrito Centro.";"Metro: Embajadores (líneas 3 y 5)  Bus: M1, 148, 41, 60, C03, C1  Renfe: Embajadores (C5)       Aparcamiento: Casino de la Reina (19), C/ Casino";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=326f38d60b41c010VgnVCM2000000c205a0aRCRD";"CASINO";"CALLE";"V";"3";"";"";"";"";"MADRID";"MADRID";"28005";"2";"EMBAJADORES";"1";"CENTRO";"440213";"4473147";"40.406792648617134";"-3.7046086019457167";"91 539 63 10";"";"cccreina@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
10269952;"Centro Socio Comunitario Colonias Históricas";"Se constituye como un lugar abierto a toda la ciudadanía, de todas las edades y perfiles, intergeneracional y de todos los sectores sociales, que tiene una naturaleza polivalente en cuanto a objetivos y potencial pues permite la satisfacción de necesidades de muy diferente tipo, la adquisición de habilidades y aprendizajes y el encuentro, la comunicación y la organización a través de lo que las propias entidades participantes proponen. Un espacio donde se trabaja lo común y desde un enfoque transversal haciendo que todo se entrecruce. Un lugar cercano y de referencia para la ciudadanía que precisamente por eso permite la detección más eficaz de necesidades. Un espacio que facilita el desarrollo de la comunidad con la implicación de la propia comunidad en todo su desarrollo.";"De lunes a sábados de 8:00 a 21:00 horas.";"Twitter: @JMDchamartin";"Bus: 7, 11, 40, 52, 87";"Estamos ante un espacio:   Abierto, donde se fomenta la participación ciudadana, los recursos y habilidades de las asociaciones de vecinos del distrito y las entidades sociales a través del trabajo en red.  Integrador de actividades de la iniciativa municipal y social.  Dinamizador de la vida social y facilitador de la integración.  Para la convivencia de las distintas iniciativas del Distrito.";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fc8e5fb87db5a510VgnVCM2000001f4a900aRCRD";"ENRIQUE JARDIEL PONCELA";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28016";"5";"NUEVA ESPAÑA";"5";"CHAMARTIN";"443189";"4479129";"40.460889951689694";"-3.6700725698826675";"915 884 936";"";"coloniashistoricas@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11962;"Centro de Servicios Sociales Badalona";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del  correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Fuencarral (línea 10)  Bus: 66, 125, 137 y 178";"Ámbito de actuación   Barrio Pilar (excepto algunas calles a consultar en el Centro de Servicios Sociales) Barrio La Paz Barrio Valverde Barrio Mirasierra (excepto algunas calles a consultar en el Centro de Servicios Sociales) Barrio El Goloso";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=7e42d4985261c010VgnVCM1000000b205a0aRCRD";"BADALONA";"CALLE";"NUM";"122";"";"";"";"";"MADRID";"MADRID";"28034";"6";"VALVERDE";"8";"FUENCARRAL-EL PARDO";"440962";"4482775";"40.49357929928593";"-3.696677139485103";"917 355 510 (Centralita) / 917 355 511 (Cita previa)";"";"cssbadalona@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11977;"Centro de Servicios Sociales Calahorra";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010 o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Vicálvaro (línea 9)  Bus: 4, 100, 106, 130, E3";"";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=11b966051361c010VgnVCM1000000b205a0aRCRD";"CALAHORRA";"CALLE";"V";"11";"";"";"";"";"MADRID";"MADRID";"28032";"";"AMBROZ";"";"VICALVARO";"448008";"4473095";"40.406847513994755";"-3.6127431819124416";"917 753 150";"";"csscalahorra@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11978;"Centro de Servicios Sociales Concepción Arenal";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Canillas (línea 4), Mar de Cristal (líneas 4 y 8)   Bus:  73, 120, 125, 172, 87";"Ámbito de actuación   Barrio Palomas Barrio Piovera Barrio Canillas Barrio Pinar del Rey Barrio Apóstol Santiago Barrio Valdefuentes";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ca8966051361c010VgnVCM1000000b205a0aRCRD";"JAVIER DEL QUINTO";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28043";"3";"CANILLAS";"16";"HORTALEZA";"445557";"4479741";"40.46655261519155";"-3.6422084742926653";"913821561";"";"csscarenal@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11961;"Centro de Servicios Sociales Dehesa de la Villa.";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet  en Atención Servicios Sociales           Chat online de www.madrid.es   Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Antonio Machado (línea 7), Valdezarza (línea 7)  Bus: 126, 127 y 132";"Ámbito de actuación   Barrio Ciudad Universitaria Barrio Valdezarza";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=67d966051361c010VgnVCM1000000b205a0aRCRD";"ANTONIO MACHADO";"CALLE";"V";"22";"";"";"";"";"MADRID";"MADRID";"28035";"4";"VALDEZARZA";"9";"MONCLOA-ARAVACA";"439004";"4479853";"40.46711526748946";"-3.7195114936540987";"913 730 224";"";"cssdehesavilla@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11954;"Centro de Servicios Sociales Eduardo Minguito";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Villaverde Bajo Cruce (línea 3)  Bus : 85, 123  Renfe : Villaverde Bajo";"Ámbito de actuación   Barrio de San Cristóbal Barrio de Butarque Barrio de Los Rosales";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=6c3c66051361c010VgnVCM1000000b205a0aRCRD";"LEONOR GONGORA";"CALLE";"V";"62";"";"";"";"";"MADRID";"MADRID";"28021";"4";"LOS ROSALES";"17";"VILLAVERDE";"441697";"4466671";"40.34854935708132";"-3.686539661954902";"914 672 445 / 914 058 725 / 917 109 552 / 914 672 321";"";"csseduardominguito@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
7829427;"Centro de Servicios Sociales El Querol";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitados, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro: Manoteras (línea 4)  Bus: 129, 29 y 7";"Ámbito de actuación   Barrio de Valdefuentes (Valedebebas, Sanchinarro y Virgen del Cortijo. 'Cárcavas' sección 096, se atiende en el Centro Concepción Arenal) Barrio de Apostol Santiago, parcial (Manoteras) Barrio Pinar del Rey, parcial (U.V.A de Hortaleza)";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3ffc666934dda410VgnVCM2000000c205a0aRCRD";"VELEZ RUBIO";"CALLE";"V";"1";"";"";"";"";"MADRID";"MADRID";"28033";"5";"APOSTOL SANTIAGO";"16";"HORTALEZA";"443725";"4480817";"40.47612370683221";"-3.6639006166974073";"913846546";"";"csscarenal@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11957;"Centro de Servicios Sociales Entrevías";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es    Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010  o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales.   Tramitación y gestión de  servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de  servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacitad, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los  programas de prevención  dirigidos a menores, adolescentes, personas adultas, mayores, etc.  Zona wifi.";"Bus: 102, 103 y 111  Renfe: Asamblea de Madrid-Entrevías";"Ambito de actuación   Barrios Entrevias Barrio el Pozo";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=bdf966051361c010VgnVCM1000000b205a0aRCRD";"YUSTE";"CALLE";"V";"8";"";"";"";"";"MADRID";"MADRID";"28053";"1";"ENTREVIAS";"13";"PUENTE DE VALLECAS";"443185";"4469752";"40.37641666740886";"-3.6692821142332264";"915 079 271 Cita previa: este teléfono estará operativo de 9 a 14 horas.";"";"cssentrevias@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
11979;"Centro de Servicios Sociales Fuente Carrantona";"Para recibir atención en el centro de servicios sociales, debe solicitar cita previa.  Para pedir la cita puede utilizar cualquiera de las alternativas que le ofrece Línea Madrid:    Internet en Atención Servicios Sociales           Chat online de www.madrid.es   Redes sociales  @lineamadrid de Twitter y Facebook   Teléfono 010 o marcando el 915 298 210 si llama desde fuera del municipio de Madrid.  También puede solicitar cita a través del correo electrónico o el teléfono del centro de servicios sociales en horario de 9 a 14 horas de lunes a viernes. Si necesita saber qué centro le corresponde a su zona, puede consultarlo en el siguiente listado organizado por distritos.";"";"Información, orientación y asesoramiento sobre derechos y recursos sociales. Tramitación y gestión de servicios sociales municipales (ayudas a domicilio, teleasistencia, centros de día municipales, pisos tutelados, etc.) y prestaciones económicas necesarias en la intervención social. Gestión y tramitación de servicios y prestaciones de la Comunidad de Madrid (dependencia, residencias de mayores, discapacidad, mujer, menores, etc.) Renta Mínima de Inserción (RMI) y diferentes prestaciones económicas de inserción social. Información y gestión de los programas de prevención dirigidos a menores, adolescentes, personas adultas, mayores, etc.";"Metro:  Pavones (línea 9)   Bus: 8, 20, 30, 32, 71, 100, 140, 142 y 144";"Ámbito de actuación   Barrio Pavones Barrio Horcajo Barrio Marroquina Barrio Media Legua Barrio Fontarrón Barrio Vinateros";"1";"http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=042a66051361c010VgnVCM1000000b205a0aRCRD";"FUENTE CARRANTONA";"CALLE";"V";"12";"";"";"";"";"MADRID";"MADRID";"28030";"1";"PAVONES";"14";"MORATALAZ";"446082";"4472549";"40.40179722425483";"-3.6354058846496793";"915 887 462 / 915 887 469 / 915 880 462";"";"cssfcarrantona@madrid.es";"/contenido/entidadesYorganismos/CentrosAtencionSocial/CentrosServiciosSociales"; 
