Codigo distrito,Nombre distrito,Centro,lat,lon
1,Centro,CSS Maravillas, 40.424819162549525, -3.7014677597546184
1,Centro,CSS Puerta de Toledo,40.40787455524859, -3.7115617022215064
2,Arganzuela,CSS José Villarreal, 40.39473458505697, -3.697806502221937
3,Retiro,CSS Retiro,40.41482705195912, -3.667699859893042
4,Salamanca,CSS Guindalera,40.4336954397877, -3.669135159892447
5,Chamartín,CSS Santa Hortensia,40.44520343924561, -3.6692495989875495
6,Tetuan,CSS María Zayas,40.459428706835055, -3.7016494598915948
6,Tetuan,CSS Vicente Ferrer,40.4734176402911, -3.693980488727046
7,Chamberí,CSS Marta Esquivias Tallada,40.43487660326667, -3.7103775022206364
8,Fuencarral-El pardo,CSS Badalona,40.49383211423289, -3.6971141022187135
8,Fuencarral-El pardo,CSS San Vicente de Paúl,40.47269441943195, -3.7165554022193983
9,Moncloa-Aravaca,CSS Dehesa de la Villa,40.46718542475907, -3.7194683022195774
9,Moncloa-Aravaca,CSS Infante Don Juan ,40.43327797516604, -3.7232945022206976
10,Latina,CSS Fuerte de Navidad,40.38062455268652, -3.7656276022224016
10,Latina,CSS Los Yébenes,40.391361594463675, -3.750177802222056
10,Latina,CSS Gallur,40.39740990182846, -3.741545986878298
11,Carabanchel,CSS Plaza Elíptica,40.386323828120254, -3.71740812920687
11,Carabanchel,CSS Zaida,40.3934418340236, -3.736258531057861
11,Carabanchel,CSS Monseńor Óscar Romero,40.382006459002106, -3.744460588730029
12,Usera,CSS Loyola de Palacio,40.36662209241889, -3.6914632371462184
12,Usera,CSS San Filiberto,40.3860198333504, -3.7152178733863224
13,Puente de Vallecas,CSS Ramón Pérez De Ayala,40.40130810366574, -3.653755404072945
13,Puente de Vallecas,CSS Entrevías,40.37587416660738, -3.6685160598943374
13,Puente de Vallecas,CSS Pablo Neruda,40.38542831215889, -3.6443648580428087
13,Puente de Vallecas,CSS San Diego,40.388877012452554, -3.6637561733862465
14,Moratalaz,CSS Fuente Carrantona,40.39982798161854, -3.6362979310576615
15,Ciudad Lineal,CSS Luis Vives,40.42501677989149, -3.628439973415133
15,Ciudad Lineal,CSS Santa Felicidad,40.42449915861862, -3.650183231056846
16,Hortaleza,CSS Concepción Arenal,40.4665855403963, -3.641912452486497
16,Hortaleza,CSS El Querol,40.4772643368213, -3.6632244493667985
17,Villaverde,CSS Huerta de Villaverde,40.34859465263885, -3.711032600372227
17,Villaverde,CSS Eduardo Minguito,40.34824831189097, -3.6865322709757535
18,Villa de Vallecas,CSS Villa de Vallecas,40.37744203541272, -3.6231382887301655
19,Vicalvaro,CSS Calahorra,40.4070331446471, -3.612689038729179
19,Vicalvaro,CSS Valdebernardo,40.40320399033361, -3.6233766715345825
20,San Blas-Canillejas,CSS Pablo Casals,40.426426582402634, -3.620318719336263
20,San Blas-Canillejas,CSS Torre Arias,40.44636947534598, -3.6123520868766974
21,Barajas,CSS Teresa de Calcuta,40.45546130807984, -3.587349940845751
