Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Proceso;Proceso;Fecha Demanda
1;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;15;RESPIRO FAMILIAR/FIN DE SEMANA / C.DÍA;03/01/2022
2;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;171;CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS);03/01/2022
3;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
4;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
5;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
6;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;17;CUIDAR A QUIENES CUIDAN;03/01/2022
7;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
8;99;CSS Teresa de Calcuta;21;BARAJAS; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
9;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2101;ALAMEDA DE OSUNA;008;75 - 79;Española;M;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
10;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2101;ALAMEDA DE OSUNA;007;25 - 29;Española;H;57;DEPENDENCIA CM;03/01/2022
11;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2103;CASCO HISTORICO DE BARAJAS;017;80 - 84;Española;M;10876;AYUDA ECONÓMICA GASTOS EXCEPCIONALES Y OTROS;03/01/2022
12;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2105;CORRALEJOS;027;50 - 54;Española;M;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
13;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2105;CORRALEJOS;027;50 - 54;Extranjera;M;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
14;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;026;65 - 69;Española;H;62;ASOCIACIONES ONG;03/01/2022
15;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;030;45 - 49;Española;M;114;CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM;03/01/2022
16;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;030;60 - 64;Extranjera;H;106;TERMALISMO SOCIAL CM;03/01/2022
17;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;030;60 - 64;Extranjera;H;60;VIVIENDA;03/01/2022
18;99;CSS Teresa de Calcuta;21;BARAJAS;21;BARAJAS;2104;TIMON;031;35 - 39;Española;M;57;DEPENDENCIA CM;03/01/2022
19;81;CSS Plaza Elíptica;11;CARABANCHEL; ; ; ; ; ; ; ; ;213;RENTA MINÍMA DE INSERCIÓN;03/01/2022
20;81;CSS Plaza Elíptica;11;CARABANCHEL; ; ; ; ; ; ; ; ;1;COBERTURA NECESIDADES BASICAS;03/01/2022
21;81;CSS Plaza Elíptica;11;CARABANCHEL;11;CARABANCHEL;1107;ABRANTES;163;75 - 79;Española;H;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
22;83;CSS Zaida;11;CARABANCHEL; ; ; ; ; ; ; ; ;10872;AYUDA ECONÓMICA ESCUELA INFANTIL;03/01/2022
23;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
24;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;1;COBERTURA NECESIDADES BASICAS;03/01/2022
25;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;43;PENSION NO CONTRIBUTIVA CM;03/01/2022
26;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;216;SERVICIO DE AYUDA A DOMICILIO MAYORES EXCEPCIONAL;03/01/2022
27;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;10902;INGRESO MÍNIMO VITAL;03/01/2022
28;71;CSS Maravillas;01;CENTRO; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
29;71;CSS Maravillas;01;CENTRO;01;CENTRO;0104;JUSTICIA;081;60 - 64;Española;H;4457;INFORME SOCIAL JUZGADOS INSTRUCCION;03/01/2022
30;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0503;CIUDAD JARDIN;042;>=85;Española;M;57;DEPENDENCIA CM;03/01/2022
31;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0502;PROSPERIDAD;030;>=85;Española;H;171;CENTRO DE DÍA (ENFERMOS DE ALZHEIMER U OTRAS DEMENCIAS);03/01/2022
32;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0704;ALMAGRO;091;55 - 59;Extranjera;M;57;DEPENDENCIA CM;03/01/2022
33;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0702;ARAPILES;026;75 - 79;Española;H;57;DEPENDENCIA CM;03/01/2022
34;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;115;45 - 49;Extranjera;M;10733;RESIDENCIA MAYORES DE EMERGENCIA SOCIAL;03/01/2022
35;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;116;>=85;Española;H;57;DEPENDENCIA CM;03/01/2022
36;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;069;55 - 59;Española;H;10902;INGRESO MÍNIMO VITAL;03/01/2022
37;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0703;TRAFALGAR;069;55 - 59;Española;H;119;SALUD Y SEGURIDAD SOCIAL CM;03/01/2022
38;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0706;VALLEHERMOSO;129;80 - 84;Española;M;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
39;91;CSS Luis Vives;15;CIUDAD LINEAL; ; ; ; ; ; ; ; ;9990;TELEASISTENCIA MAYORES ASP;03/01/2022
40;108;CSS Santa Felicidad;15;CIUDAD LINEAL; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
41;108;CSS Santa Felicidad;15;CIUDAD LINEAL; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
42;108;CSS Santa Felicidad;15;CIUDAD LINEAL; ; ; ; ; ; ; ; ;218;SERVICIO AYUDA A DOMICILIO MAYORES DEPENDENCIA;03/01/2022
43;108;CSS Santa Felicidad;15;CIUDAD LINEAL; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
44;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;025;>=85;Española;H;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
45;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;025;>=85;Española;H;57;DEPENDENCIA CM;03/01/2022
46;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;59;TRABAJO Y EMPLEO;03/01/2022
47;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
48;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
49;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
50;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
51;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
52;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;168;SERVICIO DE AYUDA  A DOMICILIO  MAYORES;03/01/2022
53;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
54;92;CSS Concepción Arenal;16;HORTALEZA; ; ; ; ; ; ; ; ;10869;AYUDA ECONÓMICA NECESIDADES BASICAS DE ALIMENTOS;03/01/2022
55;130;CSS El Querol;16;HORTALEZA; ; ; ; ; ; ; ; ;57;DEPENDENCIA CM;03/01/2022
56;130;CSS El Querol;16;HORTALEZA; ; ; ; ; ; ; ; ;114;CENTRO BASE ATENC. PERSON. CON DISCAPACIDAD CM;03/01/2022
