Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
1;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;098;45- 49;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2019
2;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;068;75 - 79;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2019
3;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1106;BUENAVISTA;155;75 - 79;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2019
4;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;097;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
5;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;079;75 - 79;Española;H;1;Primera Atención;030;Alojamiento/Vivienda;02/01/2019
6;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;033;>= 85;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
7;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1405;FONTARRON;048;80 - 84;Española;M;2;Zona / Historia Social;;;02/01/2019
8;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1403;MARROQUINA;026;80 - 84;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;02/01/2019
9;90;CSS Fuente Carrantona;14;MORATALAZ;14;MORATALAZ;1406;VINATEROS;067;>= 85;Española;M;2;Zona / Historia Social;;;02/01/2019
10;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;083;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;02/01/2019
11;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;086;35 - 39;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
12;98;CSS Pablo Casals;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2004;ARCOS;040;30 - 34;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
13;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;013;18 - 24;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
14;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;015;35 - 39;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;02/01/2019
15;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;065;50 - 54;Extranjera;M;0;CIVIS;030;Alojamiento/Vivienda;03/01/2019
16;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;033;55 - 59;Extranjera;H;2;Zona / Historia Social;050;Desprotección socio-familiar;03/01/2019
17;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0806;VALVERDE;153;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;03/01/2019
