Secuencia;Código Centro;Centro;Código Distrito Centro;Distrito Centro;Código Distrito;Distrito;Código Barrio;Barrio;Sección Censal;Tramo Edad;Nacionalidad;Sexo;Código Tipo Atención;Tipo Atención;Código Tipo Supuesto Urgente;Tipo Supuesto Urgente;Fecha Cita
1;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1103;SAN ISIDRO;060;25 - 29;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2021
2;83;CSS Zaida;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;083;30 - 34;Española;M;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2021
3;74;CSS Santa Hortensia;05;CHAMARTÍN;05;CHAMARTÍN;0503;CIUDAD JARDIN;043;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2021
4;91;CSS Luis Vives;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1503;QUINTANA;098;25 - 29;Extranjera;H;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2021
5;80;CSS Gallur;10;LATINA;10;LATINA;1003;LUCERO;068;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2021
6;79;CSS Los Yébenes;10;LATINA;10;LATINA;1003;LUCERO;061;30 - 34;Extranjera;H;1;Primera Atención;040;Desproteccion social problema salud;04/01/2021
7;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1303;PALOMERAS BAJAS;086;>= 85;Española;M;1;Primera Atención;040;Desproteccion social problema salud;04/01/2021
8;86;CSS San Diego;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1302;SAN DIEGO;038;30 - 34;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2021
9;97;CSS Torre Arias;20;SAN BLAS-CANILLEJAS;20;SAN BLAS-CANILLEJAS;2001;SIMANCAS;016;35 - 39;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2021
10;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0604;ALMENARA;073;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2021
11;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;097;65 - 69;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;04/01/2021
12;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;104;18 - 24;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;04/01/2021
13;84;CSS San Filiberto;12;USERA ;12;USERA ;1204;ALMENDRALES;044;18 - 24;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2021
14;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1803;ENSANCHE DE VALLECAS;065;35 - 39;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;04/01/2021
15;93;CSS Huerta de Villaverde;17;VILLAVERDE;17;VILLAVERDE;1701;SAN ANDRES;018;18 - 24;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;04/01/2021
16;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0205;DELICIAS;053;45- 49;Extranjera;H;1;Primera Atención;030;Alojamiento/Vivienda;05/01/2021
17;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0201;IMPERIAL;013;>= 85;Española;H;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
18;69;CSS José Villarreal;02;ARGANZUELA;02;ARGANZUELA;0206;PALOS DE MOGUER;072;75 - 79;Española;M;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
19;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1105;PUERTA BONITA;131;>= 85;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2021
20;82;CSS Monseñor Óscar Romero;11;CARABANCHEL;11;CARABANCHEL;1104;VISTA ALEGRE;101;55 - 59;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;05/01/2021
21;70;CSS Puerta de Toledo;01;CENTRO;01;CENTRO;0102;EMBAJADORES;051;65 - 69;Española;H;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2021
22;76;CSS Marta Esquivias Tallada;07;CHAMBERÍ;07;CHAMBERÍ;0705;RIOS ROSAS;106;70 - 74;Española;M;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
23;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;017;12 - 17;Española;M;2;Zona / Historia Social;010;Malos Tratos;05/01/2021
24;108;CSS Santa Felicidad;15;CIUDAD LINEAL;15;CIUDAD LINEAL;1501;VENTAS;011;>= 85;Española;M;2;Zona / Historia Social;040;Desproteccion social problema salud;05/01/2021
25;77;CSS Badalona;08;FUENCARRAL-EL PARDO;08;FUENCARRAL-EL PARDO;0805;LA PAZ;102;75 - 79;Extranjera;M;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
26;106;CSS Fuerte de Navidad;10;LATINA;10;LATINA;1006;CUATRO VIENTOS;221;55 - 59;Española;H;1;Primera Atención;020;Abandono;05/01/2021
27;88;CSS Pablo Neruda;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1304;PALOMERAS SURESTE;139;45- 49;Española;H;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
28;89;CSS Ramón Pérez De Ayala;13;PUENTE DE VALLECAS;13;PUENTE DE VALLECAS;1306;NUMANCIA;181;30 - 34;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2021
29;73;CSS Guindalera;04;SALAMANCA;04;SALAMANCA;0401;RECOLETOS;011;40 - 44;Española;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2021
30;75;CSS María Zayas;06;TETUÁN;06;TETUÁN;0606;BERRUGUETE;121;35 - 39;Extranjera;M;2;Zona / Historia Social;050;Desprotección socio-familiar;05/01/2021
31;101;CSS Vicente Ferrer;06;TETUÁN;06;TETUÁN;0605;VALDECEDERAS;107;>= 85;Española;M;2;Zona / Historia Social;050;Desprotección socio-familiar;05/01/2021
32;84;CSS San Filiberto;12;USERA ;12;USERA ;1205;MOSCARDO;073;25 - 29;Extranjera;H;1;Primera Atención;040;Desproteccion social problema salud;05/01/2021
33;84;CSS San Filiberto;12;USERA ;12;USERA ;1206;ZOFIO;075;45- 49;Extranjera;M;2;Zona / Historia Social;030;Alojamiento/Vivienda;05/01/2021
34;95;CSS Calahorra;19;VICÁLVARO;19;VICÁLVARO;1901;CASCO HISTORICO DE VICALVARO;016;18 - 24;Española;M;2;Zona / Historia Social;020;Abandono;05/01/2021
35;94;CSS Villa de Vallecas;18;VILLA DE VALLECAS;18;VILLA DE VALLECAS;1801;CASCO HISTORICO DE VALLECAS;013;35 - 39;Extranjera;M;2;Zona / Historia Social;;;05/01/2021
